RANG;A;A;B;B;1;2;3;3BIS;4;5;6;7;7;7BIS;8;9;10;11;12;13;13;14
29;;;;SAINT-REMY-LES-CHEVREUSE;;;;;;;;MAISON BLANCHE;MAISON BLANCHE;;PORTE DE CHARENTON;CHARONNE;;;MAIRIE D'ISSY;;;
30;;;;;;;;;;;;PORTE D'ITALIE;LE KREMLIN-BICETRE;;LIBERTE;RUE DES BOULETS;;;;;;
31;;;;;;;;;;;;PORTE DE CHOISY;VILLEJUIF-LEO LAGRANGE;;CHARENTON-ECOLES;NATION;;;;;;
32;;;;;;;;;;;;PORTE D'IVRY;VILLEJUIF-PAUL VAILLANT-COUTURIER;;ECOLE VETERINAIRE DE MAISONS-ALFORT;BUZENVAL;;;;;;
33;;;;;;;;;;;;PIERRE ET MARIE CURIE;VILLEJUIF-LOUIS ARAGON;;MAISONS-ALFORT-STADE;MARAICHERS;;;;;;
34;;;;;;;;;;;;MAIRIE D'IVRY;;;MAISONS-ALFORT-LES JUILLIOTTES;PORTE DE MONTREUIL;;;;;;
35;;;;;;;;;;;;;;;CRETEIL-L'ECHAT;ROBESPIERRE;;;;;;
36;;;;;;;;;;;;;;;CRETEIL-UNIVERSITE;CROIX DE CHAVAUX;;;;;;
37;;;;;;;;;;;;;;;CRETEIL-PREFECTURE;MAIRIE DE MONTREUIL;;;;;;
38;;;;;;;;;;;;;;;CRETEIL-POINTE DU LAC;;;;;;;
39;;;;;;;;;;;;;;;;;;;;;;
