Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris;Coordonnées;Latitude;Longitude
63;Métro;GEORGE V;3842260;1;;;;;Paris;8.0;48.872076, 2.3004214;48.872076;2.3004214
254;Métro;MAUBERT-MUTUALITE;1280387;10;;;;;Paris;5.0;48.8500649, 2.3484301;48.8500649;2.3484301
101;Métro;PORTE DE BAGNOLET;3085790;3;;;;;Paris;20.0;48.8646027, 2.407183;48.8646027;2.407183
148;Métro;POISSONNIERE;2306725;7;;;;;Paris;10.0;48.8772389, 2.3492341;48.8772389;2.3492341
244;Métro;JASMIN;1418238;9;;;;;Paris;16.0;48.8525598, 2.2681802;48.8525598;2.2681802
66;Métro;GRANDS BOULEVARDS;3737316;8;9;;;;Paris;9.0;48.8714412, 2.3434953;48.8714412;2.3434953
256;Métro;PHILIPPE AUGUSTE;1262653;2;;;;;Paris;11.0;48.8582563, 2.3901666;48.8582563;2.3901666
105;Métro;PASTEUR;3026286;6;12;;;;Paris;9.0;48.8429336, 2.3125906;48.8429336;2.3125906
153;Métro;TOLBIAC;2287918;7;;;;;Paris;13.0;48.8260904, 2.3573505;48.8260904;2.3573505
255;Métro;SOLFERINO;1269143;12;;;;;Paris;7.0;48.8586551, 2.3229865;48.8586551;2.3229865
67;Métro;CONVENTION;3734750;12;;;;;Paris;15.0;48.8372872, 2.2966539;48.8372872;2.2966539
258;Métro;SEVRES-LECOURBE;1257040;6;;;;;Paris;15.0;48.8456163, 2.3095848;48.8456163;2.3095848
113;Métro;MAIRIE DES LILAS;2894622;11;;;;;Les Lilas;;48.87976125309794, 2.416479643681515;48.87976125309794;2.416479643681515
154;Métro;ECOLE VETERINAIRE DE MAISONS-ALFORT;2269487;8;;;;;Maisons -Alfort;;48.81480300700047, 2.422376142845623;48.81480300700047;2.422376142845623
261;Métro;SAINT-FRANCOIS-XAVIER;1213378;13;;;;;Paris;7.0;48.8514517, 2.3144205;48.8514517;2.3144205
72;Métro;VILLIERS;3586376;2;3;;;;Paris;17.0;48.8811181, 2.3149118;48.8811181;2.3149118
268;Métro;MONCEAU;1148677;2;;;;;Paris;17.0;48.8803157, 2.3086415;48.8803157;2.3086415
116;Métro;OURCQ;2862337;5;;;;;Paris;19.0;48.8870772, 2.38664;48.8870772;2.38664
156;Métro;SENTIER;2222744;3;;;;;Paris;3.0;48.867518, 2.3465656;48.867518;2.3465656
265;Métro;QUATRE-SEPTEMBRE;1165004;3;;;;;Paris;2.0;48.8695929, 2.3358665;48.8695929;2.3358665
